"","GSM3359632","GSM3359633","GSM3359634","GSM3359635","GSM3359636","GSM3359637","GSM3359638","GSM3359639","GSM3359640","GSM3359641","GSM3359642","GSM3359643"
"PCDHA4",3.77365736882503,3.85067566321746,4.15292358118954,3.37748706000695,3.73847470732435,3.90175996387449,3.52219174202355,4.13357642286524,4.09422413345559,4.19683870211759,3.58854715285522,3.66079388954538
"PRB3",2.2271268787059,2.01810338660686,2.3091107546544,2.1018201288822,2.28027809038003,2.33955003791041,2.05696706250751,2.29403561795784,2.3566246902525,1.88918611107006,2.40809801544571,2.25116314429188
"PCDHGB1",1.72872010069058,1.70235970314401,1.73094468249891,1.34369616638387,1.73062489081812,1.87223064063819,1.57595472435998,1.85867626581187,1.66273181468657,1.80730645877527,1.66660806048616,1.33113260828844
"TUBB7P",2.48629706833752,2.60559303387472,2.78438631065768,2.3724447620456,2.60360718758642,2.74643139332325,2.80381014961672,2.74695533720999,3.01339102614531,3.2633820678788,2.89193844000824,2.28474570259712
"KRTAP6-1",5.91857775752295,5.69224358571337,5.98723068796449,5.29842792751514,5.74418510987877,5.88307686506941,6.06222451077715,5.7443928867666,6.31376861347958,6.16106907838529,5.90617776550294,5.66543200877079
"SFT2D1",7.77959805595449,7.96084567983657,8.03901283766579,8.11579669732797,8.0051252793187,7.82906784558011,7.38662604674003,8.55008392714242,7.94963013701865,7.40790035760335,7.96260651962159,8.54650919043529
"KRTAP21-2",3.32486650899256,2.79460351831435,3.35844907784065,2.44634497762119,2.88905992266175,3.21513692494727,3.23755531949213,2.74604916145916,3.27466008814162,2.71813794415974,2.84250110793242,2.64204989115183
"H2AC15",2.11201088639224,2.03089067397373,2.40048628166527,2.04639916753612,2.01619003331183,2.29533360490242,2.42904254439914,2.20943322554709,2.46815083546042,2.3330755172818,2.28311463433271,2.26958858948229
"IGLL3P",2.67727577167186,3.09982198395558,2.62776864125261,4.30064970298696,2.7845702989892,2.59827200515096,6.11032884106546,2.50826238239618,2.82196173937436,2.39186260989934,3.83473673692837,3.39406286905874
"DNAJC12",1.89132811425278,1.62647342406638,2.03282433491199,1.57796767911665,1.7545966486996,1.73686147122837,2.08051580030642,1.69024174004885,2.10428000916519,2.13970871139563,1.61923733032042,1.47811040917597
